,task_num,trial_type,trial_num,terminal_feedback_boolean,target_angle_degrees,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px
0,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.00176310539246,-3,264,-3.0,264.0
1,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.0581738948822,-3,264,-3.0,264.0
2,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.0743329524994,-3,264,-3.0,264.0
3,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.0913949012756,-3,264,-3.0,264.0
4,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.107862949371,-3,264,-3.0,264.0
5,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.12543797493,-3,264,-3.0,264.0
6,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.140875101089,-3,264,-3.0,264.0
7,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.158128023148,-3,264,-3.0,264.0
8,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.174292087555,-3,264,-3.0,264.0
9,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.191618919373,-3,264,-3.0,264.0
10,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.207953929901,-3,264,-3.0,264.0
11,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.224499940872,-3,264,-3.0,264.0
12,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.24197101593,-3,264,-3.0,264.0
13,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.257705926895,-3,264,-3.0,264.0
14,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.275022983551,-3,264,-3.0,264.0
15,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.291121959686,-3,264,-3.0,264.0
16,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.307630062103,-3,264,-3.0,264.0
17,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.324753046036,-3,264,-3.0,264.0
18,1,cursor,1,False,140,0,0,-252.794666229,212.119911197,0.341177940369,-3,264,-3.0,264.0
