task_num,task_name,trial_type,trial_num,terminalfeedback_bool,targetangle_deg,targetdistance_percmax,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00136804580688,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00506210327148,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0168831348419,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0337090492249,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0502891540527,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0669810771942,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0839071273804,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.100630044937,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.117270946503,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.133792161942,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.150079011917,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.166936159134,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.183763980865,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.200520038605,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.217237949371,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.233463048935,75,187,75,187
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.250496149063,75,185,75,185
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.267012119293,74,184,74,184
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.28368806839,72,181,72,181
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.30010008812,71,177,71,177
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.316839933395,69,170,69,170
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.33368396759,63,163,63,163
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.350307941437,60,151,60,151
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.366961956024,55,145,55,145
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.383729934692,48,132,48,132
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.400453090668,45,119,45,119
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.416696071625,39,100,39,100
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.433741092682,34,87,34,87
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.450412034988,27,70,27,70
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.466948032379,23,62,23,62
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.48341012001,17,54,17,54
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.500221014023,15,47,15,47
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.517179012299,12,42,12,42
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.534054994583,11,39,11,39
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.550414085388,10,38,10,38
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.567281007767,9,35,9,35
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.584149122238,9,33,9,33
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.600682973862,8,30,8,30
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.617249011993,6,28,6,28
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.633706092834,5,27,5,27
