task_num,task_name,trial_type,trial_num,terminalfeedback_bool,targetangle_deg,targetdistance_percmax,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.00203394889832,93,175,93,175
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.00737595558167,93,175,93,175
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.023745059967,93,175,93,175
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.0405368804932,92,173,92,173
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.0575098991394,90,169,90,169
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.0741250514984,90,167,90,167
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.0906579494476,89,164,89,164
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.10736989975,88,159,88,159
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.124274969101,86,153,86,153
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.140487909317,85,147,85,147
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.15758895874,84,139,84,139
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.174069881439,83,137,83,137
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.191167831421,81,134,81,134
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.207571029663,79,131,79,131
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.224206924438,76,127,76,127
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.240836858749,72,121,72,121
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.257493019104,68,117,68,117
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.274351835251,61,104,61,104
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.290958881378,57,94,57,94
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.307596921921,51,83,51,83
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.324156045914,45,74,45,74
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.341027021408,34,64,34,64
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.357488870621,26,50,26,50
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.374292850494,16,42,16,42
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.390920877457,16,36,16,36
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.407421827316,14,32,14,32
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.424082994461,14,30,14,30
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.440976858139,13,27,13,27
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.457551956177,11,25,11,25
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.474132061005,10,22,10,22
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.490810871124,9,18,9,18
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.507014036179,8,16,8,16
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.524179935455,5,15,5,15
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.540835857391,3,12,3,12
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.557380914688,-1,6,-1,6
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.574089050293,-4,-2,-4,-2
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.590836048126,-6,-3,-6,-3
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.607465982437,-6,-3,-6,-3
1,nc,no_cursor,1,False,90,100,0,0,3.91886975727e-14,640.0,0.624284982681,-7,-2,-7,-2
