task_num,task_name,trial_type,trial_num,terminalfeedback_bool,targetangle_deg,targetdistance_percmax,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00186896324158,113,176,113,176
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00662803649902,115,166,115,166
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.019150018692,119,146,119,146
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0359539985657,133,108,133,108
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0526621341705,149,86,149,86
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0689980983734,171,64,171,64
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0858080387115,186,65,186,65
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.102364063263,218,92,218,92
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.119272947311,254,132,254,132
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.136049032211,284,192,284,192
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.152625083923,304,236,304,236
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.169270992279,318,284,318,284
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.18612909317,323,304,323,304
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.202828168869,323,308,323,308
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.219277143478,322,304,322,304
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.235406160355,304,275,304,275
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.252395153046,272,219,272,219
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.269005060196,244,146,244,146
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.286004066467,191,100,191,100
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.302806138992,181,82,181,82
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.31934595108,180,76,180,76
