task_num,task_name,trial_type,trial_num,terminalfeedback_bool,targetangle_deg,targetdistance_percmax,homex_px,homey_px,targetx_px,targety_px,time_s,mousex_px,mousey_px,cursorx_px,cursory_px
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00193691253662,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.00727701187134,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0217640399933,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0380759239197,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0548100471497,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0714099407196,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.0880329608917,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.10477399826,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.121468067169,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.138067007065,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.154839038849,110,178,110,178
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.171700000763,109,177,109,177
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.188224077225,108,176,108,176
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.205332994461,107,175,107,175
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.221560955048,107,175,107,175
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.238435983658,107,175,107,175
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.255407094955,107,175,107,175
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.27196598053,106,174,106,174
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.288187980652,106,172,106,172
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.305190086365,105,170,105,170
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.321974039078,102,164,102,164
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.338567018509,97,158,97,158
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.355613946915,85,146,85,146
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.372137069702,75,140,75,140
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.38883805275,64,129,64,129
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.405133008957,60,119,60,119
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.422193050385,54,106,54,106
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.438766002655,48,95,48,95
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.455567121506,36,83,36,83
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.471601009369,24,72,24,72
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.488328933716,8,60,8,60
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.505410909653,2,52,2,52
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.521959066391,-3,38,-3,38
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.537935018539,-6,34,-6,34
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.55535697937,-7,33,-7,33
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.571988105774,-9,31,-9,31
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.588725090027,-9,27,-9,27
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.605473995209,-9,23,-9,23
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.622222900391,-9,19,-9,19
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.638870000839,-9,15,-9,15
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.655326128006,-9,13,-9,13
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.672006130219,-8,12,-8,12
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.688810110092,-5,11,-5,11
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.70525598526,-3,7,-3,7
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.722069978714,-2,6,-2,6
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.738394021988,-2,6,-2,6
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.754998922348,0,7,0,7
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.771879911423,2,10,2,10
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.788655042648,4,12,4,12
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.805484056473,5,13,5,13
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.822227954865,7,15,7,15
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.838715076447,7,15,7,15
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.855320930481,7,15,7,15
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.87163901329,7,15,7,15
1,nc,no_cursor,1,False,40,100,0,0,490.268443596,411.384070199,0.888729095459,7,15,7,15
